Layer,Alpha,Gamma_W,Gamma_C
1,[1.0667465],[1.1615195],[0.88774204]
2,[1.0183637],[1.5999906],[1.0105381]
3,[0.94993913],[2.1617615],[1.1834893]
4,[0.90596646],[2.58109],[1.8160002]
5,[0.871417],[3.292309],[2.4393988]
6,[0.88197035],[4.2993608],[2.922972]
7,[0.87015605],[5.014786],[2.3773043]
8,[0.8902695],[5.3575754],[2.7205675]
9,[0.8302605],[5.067738],[3.013356]
10,[0.7624428],[4.0897503],[4.0091743]
11,[0.7172025],[3.8877728],[4.977119]
12,[0.70023215],[3.9231076],[5.1366816]
13,[0.68834454],[4.356327],[5.233804]
14,[0.71319836],[5.0123787],[5.1728473]
15,[0.6914779],[5.3221107],[5.105726]
16,[0.6898462],[5.637832],[5.211693]
17,[0.68747497],[5.842519],[5.219427]
18,[0.6852892],[5.5884275],[5.3266125]
19,[0.68811667],[5.969673],[5.3168383]
20,[0.68990934],[5.862068],[5.3132653]
21,[0.68973833],[6.226545],[5.329464]
22,[0.69056517],[5.87004],[5.297147]
23,[0.6901777],[5.7113647],[5.320842]
24,[0.69014347],[5.862195],[5.3172994]
25,[0.6903533],[5.7402277],[5.3129706]
26,[0.6909138],[5.8608847],[5.308331]
27,[0.69067913],[5.678519],[5.306807]
28,[0.6906896],[5.7599373],[5.3239746]
29,[0.6910225],[5.674119],[5.319871]
30,[0.69116706],[5.613325],[5.321298]
31,[0.691106],[5.5817766],[5.3230114]
32,[0.69119537],[5.776139],[5.3223233]
33,[0.69107324],[5.5412874],[5.323289]
34,[0.6911212],[6.0312257],[5.3194456]
35,[0.69114363],[5.6753235],[5.321908]
36,[0.6912636],[5.8510404],[5.322445]
37,[0.6912655],[5.6121945],[5.3208895]
38,[0.6913473],[5.8437424],[5.3213205]
39,[0.6913536],[5.634735],[5.3207016]
40,[0.69141054],[5.9033513],[5.317086]
41,[0.6915314],[5.7599044],[5.317572]
42,[0.69157344],[5.740788],[5.3110013]
43,[0.69170886],[5.882483],[5.3165016]
44,[0.6917973],[5.693528],[5.314996]
45,[0.69194627],[5.816808],[5.311944]
46,[0.69203407],[5.601878],[5.310426]
47,[0.69212514],[5.8362255],[5.3106813]
48,[0.69233286],[5.653556],[5.309392]
49,[0.69232494],[5.7516103],[5.306324]
50,[1.],[5.7647758],[1.2116013]
